objectid,cdmid,title,contributor_description,curator_description,date,location,subject,collecting_area,contributed_by,photographer,digital_collection,publisher,original_format,rights_and_usage,credit_line,latitude,longitude,format
wfmp00060,65,Smoke blankets Malibu,Piuma Overlook collects smoke from the fire,,2018-11-11,Malibu,fires; smoke; mountains; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Gillett, Doug","Gillett, Doug",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.074013,-118.697695,image/jpeg
wfmp00053,67,Smoke approaches Malibu,A faculty member takes a photo of the fire from the Ralph's parking lot in Malibu,,2018-11-09,Pacific Coast Highway,smoke; parking lots; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Gillett, Doug","Gillett, Doug",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","  Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.034479,-118.694738,image/jpeg
wfmp00059,68,Smoke blankets campus,"Taken from Payson Library, Pepperdine Malibu Campus",,2018-11-10,Payson Library,fires; smoke; sun; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Gillett, Doug","Gillett, Doug",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038912,-118.706622,image/jpeg
wfmp00014,69,Burned home on Decker Canyon Road,Some shots of surrounding areas near and at the site of our home over weeks and months after fire.,Residential damage after the fire.,2018-11-20,Decker Canyon Road,fires; houses; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00043,70,Rain falls on burned home,Some shots of surrounding areas near and at the site of our home over weeks and months after fire.,Video of rain falling on a burned home.,2019-01-12,Decker Canyon Road;,fires ;houses; rain; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,video/mp4
wfmp00074,71,Students watch smoke,,Students watch as the smoke creeps closer to the Pepperdine campus.,2018-11-09,Tyler Campus Center,smoke; mountains; students; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Royster, Kennedy","Royster, Kennedy",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038302,-118.707243,image/jpeg
wfmp00075,72,Students return to dorms,"After spending hours evacuated in the caf, we were allowed to shortly return to our dorms.",Students returning to their dorms from shelter-in-place locations.,2018-11-09,Dorm Road,smoke; students; dormitories; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Royster, Kennedy","Royster, Kennedy",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.040267,-118.708522,image/jpeg
wfmp00049,73,Child sleeps in office,Miles Carlsen asleep,Miles Carlsen sleeping in his father's campus office.,2018-11-09,Pendleton Learning Center,evacuations; couches; children; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Carlsen, George","Carlsen, George",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.039297,-118.70571,image/jpeg
wfmp00057,75,Dog shelters in Firestone Fieldhouse,"Firestone Fieldhouse, Pepperdine Malibu Campus",Photograph of a dog sheltering in the Firestone Fieldhouse stairwell.,2018-11-09,Firestone Fieldhouse,evacuations; dogs; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Gillett, Doug","Gillett, Doug",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038768,-118.709705,image/jpeg
wfmp00067,77,Burned road sign,,Photograh of a fire-damaged Pacific Coast Highway sign near the border between Ventura and Los Angeles counties.,2018-11-20,Pacific Coast Highway,fires; Traffic signs & signals; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Harris, Jerry","Harris, Jerry",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00056,78,Smoke billows over hills,Taken from the pedestrian bridge near the main lot looking toward the fire.,,2018-11-09,,fires; smoke; parking lots; mountains; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Gillett, Doug","Gillett, Doug",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038997,-118.706035,image/jpeg
wfmp00001,79,Burn area surrounding Malibou Lake,Aerial photographs of Malibu and Malibou Lake,Aerial photograph of burn areas in the montain are of Malibu and surrounding the Malibou Lake.,2018-11-30,Malibu; Malibou Lake,fires; smoke; airplanes; aerial photographs; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Knox, Kelsey","Knox, Kelsey",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00081,80,Student reacts to smoke,Clouds of Smoke covering the sky above Pepperdine,Video of smoke billowing over the mountains towards campus. Taken by a student of exclaims in amazement.,2018-11-09,Mullin Town Square,fires; smoke; students; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Abracosa, Matt","Abracosa, Matt",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038831,-118.707205,video/mp4
wfmp00202,92,Helicopter over Alumni Park,35mm photos of helicopter fire operations to combat the fire still burning in Malibu Canyon on 11 November. Taken from the corner of Seaver Drive and Banowsky Blvd.,,2018-11-11,Alumni Park;,helicopters; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00199,122,Burn area surrounding Pepperdine,Taken from Baxter Drive,Smoke hangs in the air and burn scars are visible between George Page Residential Complex and Drescher Graduate Campus. Photograph taken from staff and faculty residences off Baxter Drive.,2018-11-10,Drescher Graduate Campus; Page Residential Complex,smoke; fires; dormitories; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00083,126,A Sprout of Eternity,,Written account of a Pepperdine parent's experience watching the Borderline shooting and the Woolsey Fire from a distance.,2019-04-01,Malibu; Ventura County; Firestone Fieldhouse;,fires; parents; students; faith; Pepperdine University; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Wood, Lori Ann",,,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,application/pdf
wfmp00201,127,Helicopter over Alumni Park,35mm photos of helicopter fire operations to combat the fire still burning in Malibu Canyon on 11 November. Taken from Theme Tower Lot overlooking Alumni Park.,,2018-11-11,Alumni Park;,helicopters; ponds; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00192,130,Smoke billows over hills,"Taken from the ridge behind Drescher homes, looking towards Point Dume",,2018-11-09,Mountains above Pepperdine; Drescher Graduate Campus;,smoke; fires; mountains; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00195,131,Smoke approaching campus,,Smoke billows over Pepperdine in photograph taken from Smothers parking lot.,2018-11-09,Smother's lot,smoke; fires; parking lots; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00191,137,Smoke billows over hills,"Taken from the ridge behind Drescher homes, looking towards Point Dume",,2018-11-09,Mountains above Pepperdine; Drescher Graduate Campus;,smoke; fires; mountains; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00198,141,Fire beyond Payson Library,Taken from 2nd floor of TCC looking over Payson Library.,"Flames visible behind Payson Library in photograph taken from Tyler Campus Center, one of the shelter-in-place locations.",2018-11-10,Tyler Campus Center; Payson Library;,fires; libraries; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00200,154,Helicopter over Alumni Park,35mm photos of helicopter fire operations to combat the fire still burning in Malibu Canyon on 11 November. Taken from Theme Tower Lot overlooking Alumni Park.,,2018-11-11,Alumni Park;,helicopters; ponds; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00197,155,Glow of fire beyond mountains,Taken from 2nd floor TCC,"Photograph taken from the Tyler Campus Center, one of the shelter-in-place locations, of the glow of the fire as it approached the mountains surrounding campus.",2018-11-09,Tyler Campus Center;,fires; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00194,158,Smoke billows over hills,"Taken from CCB lot, looking towards Drescher.",Photograph of smoke billowing over nearby hills taken from Center for Communication and Business parking lot.,2018-11-09,Center for Communication and Business; Drescher Graduate Campus;,smoke; fires; mountains; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00204,163,Helicopter over Alumni Park,35mm photos of helicopter fire operations to combat the fire still burning in Malibu Canyon on 11 November. Taken from Theme Tower Lot overlooking Alumni Park.,,2018-11-11,Alumni Park;,helicopters; ponds; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00193,170,Smoke billows over hills,"Taken from CCB lot, looking towards Drescher.",Photograph of smoke billowing over nearby hills taken from Center for Communication and Business parking lot.,2018-11-09,Center for Communication and Business; Mountains above Pepperdine;,smoke; fires; mountains; parking lots; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00203,171,Helicopter over Alumni Park,35mm photos of helicopter fire operations to combat the fire still burning in Malibu Canyon on 11 November. Taken from Theme Tower Lot overlooking Alumni Park.,,2018-11-11,Alumni Park;,helicopters; ponds; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00196,179,Fire cresting mountains,Taken from 2nd floor of TCC looking at Joslyn Plaza.,"Photograph taken from the Tyler Campus Center, one of the shelter-in-place locations, as the fire crested the mountains surrounding Pepperdine.",2018-11-09,Tyler Campus Center; Mullin Town Square,fires; plazas; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Dillion, Sarah","Dillion, Sarah",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00088,201,Student watches fire crest hills,,Photograph of a student in Payson Library watching as the fire crests the hills.,2018-11-10,Payson Library;,fires; smoke; students; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Lee, Janice","Lee, Janice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00115,202,Burn area off Corral Canyon Road,"Scenes from Corral Canyon Road of burn areas, including scorched trees.",,2018-12-14,Corral Canyon Road,fires; mountains; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00093,203,Sun sets behind smoke,,,2018-11-09,Mountains above Pepperdine;,fires; smoke; sunset; mountains; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Barton, Sara","Barton, Sara",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00095,204,Students shelter in the library,,,2018-11-10,Payson Library,evacuations; students; libraries; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Barton, Sara","Barton, Sara",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00104,205,Smoke above Malibu,Taken from PCH while driving towards LA.,Photograph looking from intersection of Carbon Canyon Road and Pacific Coast Highway towards Malibu.,2018-11-09,Pacific Coast Highway,fires; smoke; driving; Pepperdine University; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Round, Andie","Round, Andie",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00094,206,Fire beyond Elkins Auditorium,,A night-time view of the fire from campus.,2018-11-09,Elkins Auditorium;,fires; smoke; mountains; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Barton, Sara","Barton, Sara",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00107,207,Smoke billows over hills,Taken from outside of Cafeteria.,Photograph of smoke billowing over nearby hills taken from outside Tyler Campus Center.,2018-11-09,Tyler Campus Center,fires; smoke; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Round, Andie","Round, Andie",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00097,208,Maintenance crew at breakfast buffet,,,2018-11-10,,fires; smoke; Pepperdine University; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Barton, Sara","Barton, Sara",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00100,209,Sara and John Barton,,Chaplin Sara Barton and her husband Professor John Barton pose in the smoke wearing masks. Burn area in the background.,2018-11-10,,fires; smoke; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Barton, Sara","Barton, Sara",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00092,210,Students outside of Firestone Fieldhouse,,,2018-11-09,Firestone Fieldhouse;,fires; smoke; students; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Lee, Janice","Lee, Janice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00108,211,Smoke billows over hills,Taken from Firestone Fieldhouse looking toward Hills.,Pool is visible in foreground.,2018-11-09,Firestone Fieldhouse; Mountains above Pepperdine,fires; smoke; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Round, Andie","Round, Andie",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00085,212,Students shelter in the library,,,2018-11-10,Payson Library,evacuations; students; libraries; Pepperdine University; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Lee, Janice","Lee, Janice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00087,214,Fire approaches campus,,"Video of the fire burning towards campus. Shot from Payson Library, one of the shelter-in-place locations.",2018-11-09,Payson Library,fires; smoke; libraries; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Lee, Janice","Lee, Janice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,video/mp4
wfmp00117,215,Paradise Cove Beach Cafe sign,"Signs announcing that “Paradise Stands,” #malibustrong and cafe open sign at Paradise Cove.",,2018-12-14,Pacific Coast Highway,restaurants; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
